tconst,primaryTitle,startYear
tt0807832,Mushi-Shi,2005
tt0098833,Jeeves and Wooster,1990
tt6385540,Hilda,2018
tt12074628,Smiling Friends,2020
tt13409432,Ranking of Kings,2021
tt0103466,The Larry Sanders Show,1992
tt1587000,Rake,2010
tt5332206,Signal,2016
tt12369754,Staged,2020
tt11052470,Move to Heaven,2021
tt3762198,People Just Do Nothing,2014
tt0475900,Anthony Bourdain: No Reservations,2005
tt0105977,Cracker,1993
tt6583806,This Country,2017
tt0477507,Spiral,2005
tt2930610,The Kitchen,2012
tt0460681,Supernatural,2005
tt1632701,Suits,2011
tt2467372,Brooklyn Nine-Nine,2013
tt0285403,Scrubs,2001
tt1119644,Fringe,2008
tt5834204,The Handmaid's Tale,2017
tt0285331,24,2001
tt9561862,"Love, Death & Robots",2019
tt3006802,Outlander,2014
tt1474684,Luther,2010
tt8398600,After Life,2019
tt1695360,The Legend of Korra,2012
tt2249364,Broadchurch,2013
tt0409591,Naruto,2002
tt2017109,Banshee,2013
tt0458290,Star Wars: The Clone Wars,2008
tt5348176,Barry,2018
tt2149175,The Americans,2013
tt0491738,Psych,2006
tt4270492,Billions,2016
tt0118480,Stargate SG-1,1997
tt2788432,American Crime Story,2016
tt1220617,The Inbetweeners,2008
tt8714904,Narcos: Mexico,2018
tt1442462,The Good Wife,2009
tt4189022,Ash vs Evil Dead,2015
tt0412253,Veronica Mars,2004
tt1759761,Veep,2012
tt0925266,Pushing Daisies,2007
tt2384811,Utopia,2013
tt2578560,Broad City,2014
tt2543312,Halt and Catch Fire,2014
tt0105946,Babylon 5,1993
tt0478942,Life on Mars,2006
tt5853176,The Good Fight,2017
tt5743796,Warrior,2019
tt1830379,Top Boy,2011
tt4378376,Babylon Berlin,2017
tt6905542,The Dark Crystal: Age of Resistance,2019
tt0416394,The Mighty Boosh,2003
tt13433812,Vincenzo,2021
tt0235923,Invader ZIM,2001
tt0108872,My So-Called Life,1994
tt0408381,Doc Martin,2004
tt2407574,My Mad Fat Diary,2013
tt0098878,Northern Exposure,1990
tt7765404,Wayne,2019
tt1553644,The Ricky Gervais Show,2010
tt14518756,Hometown Cha-Cha-Cha,2021
tt13293588,Mushoku Tensei: Jobless Reincarnation,2021
tt0924651,The Graham Norton Show,2007
tt0423661,Green Wing,2004
tt0184135,The League of Gentlemen,1999
tt0437729,The Late Late Show with Craig Ferguson,2005
tt8893550,Car Masters: Rust to Riches,2018
tt1493239,Terriers,2010
tt10183988,Julie and the Phantoms,2020
tt9174582,Brassic,2019
tt0112084,Mr. Show with Bob and David,1995
tt2919910,Whose Line Is It Anyway?,2013
tt12063450,To Your Eternity,2021
tt8146754,Infinity Train,2019
tt2216156,Last Tango in Halifax,2012
tt8080054,Patriot Act with Hasan Minhaj,2018
tt5863126,Last Chance U,2016
tt4803766,Alone,2015
tt4130418,Hip-Hop Evolution,2016
tt2141913,Review,2014
tt8765446,Upright,2019
tt0460649,How I Met Your Mother,2005
tt0411008,Lost,2004
tt0455275,Prison Break,2005
tt1796960,Homeland,2011
tt7767422,Sex Education,2019
tt8772296,Euphoria,2019
tt0904208,Californication,2007
tt0118276,Buffy the Vampire Slayer,1997
tt3647998,Taboo,2017
tt2632424,The Originals,2013
tt0496424,30 Rock,2006
tt1637727,The Killing,2011
tt2234222,Orphan Black,2013
tt2699128,The Leftovers,2014
tt2249007,Ray Donovan,2013
tt6517102,Castlevania,2017
tt5626028,My Hero Academia,2016
tt0445114,Extras,2005
tt1344204,Blue Mountain State,2010
tt1699748,Hell on Wheels,2011
tt0383126,MythBusters,2003
tt1480684,The League,2009
tt6611916,Kingdom,2019
tt0220880,Courage the Cowardly Dog,1999
tt0115147,The Daily Show,1996
tt3358020,Parasyte: The Maxim,2014
tt0187636,Farscape,1999
tt1836037,Longmire,2012
tt14664414,Young Royals,2021
tt1942683,The Amazing World of Gumball,2011
tt1416765,Parenthood,2010
tt0874936,Life,2007
tt3636060,Poldark,2015
tt4565380,Fauda,2015
tt1702042,An Idiot Abroad,2010
tt4644488,Dragon Ball Super,2015
tt7441658,Black Clover,2017
tt0381798,Rescue Me,2004
tt2183404,Rectify,2013
tt9054904,Why Women Kill,2019
tt4192812,Unforgotten,2015
tt8688814,The Dragon Prince,2018
tt0485842,Studio 60 on the Sunset Strip,2006
tt1981558,Key and Peele,2012
tt1409055,Dragon Ball Z Kai,2009
tt6439752,Snowfall,2017
tt8531222,Dave,2020
tt6466208,Breathe,2018
tt8594324,Ghosts,2019
tt0948103,Gurren Lagann,2007
tt0179552,The Adventures of Tintin,1991
tt0835434,In Treatment,2008
tt0976192,The Spectacular Spider-Man,2008
tt4687882,Patriot,2015
tt4277922,Call My Agent!,2015
tt1279972,Treme,2010
tt14479078,Candy,2021
tt0103376,Bottom,1991
tt0361256,Wonderfalls,2004
tt6494622,Made in Heaven,2019
tt5531466,DuckTales,2017
tt9113406,Wu-Tang: An American Saga,2019
tt0974077,Cranford,2007
tt0105932,"The Adventures of Brisco County, Jr.",1993
tt0165961,Sports Night,1998
tt0112047,Life with Louie,1994
tt8050740,Amphibia,2019
tt10482560,Kipo and the Age of Wonderbeasts,2020
tt7752034,Somebody Feed Phil,2018
tt2275071,Game of Silence,2012
tt1270367,How Not to Live Your Life,2007
tt2258904,A Place to Call Home,2013
tt6333098,Abstract: The Art of Design,2017
tt1530541,Offspring,2010
tt0898266,The Big Bang Theory,2007
tt6468322,Money Heist,2017
tt0182576,Family Guy,1999
tt9140554,Loki,2021
tt1196946,The Mentalist,2008
tt4955642,The Good Place,2016
tt2431438,Sense8,2015
tt0934814,Chuck,2007
tt0212671,Malcolm in the Middle,2000
tt1358522,White Collar,2009
tt0238784,Gilmore Girls,2000
tt2628232,Penny Dreadful,2014
tt7203552,The Morning Show,2019
tt2375692,Black Sails,2014
tt0206512,SpongeBob SquarePants,1999
tt1548850,Misfits,2009
tt6315640,Atypical,2017
tt5114356,Legion,2017
tt0840196,Skins,2007
tt0106004,Frasier,1993
tt1561755,Bob's Burgers,2011
tt4635276,Master of None,2015
tt0434665,Bleach,2004
tt0866442,Eastbound & Down,2009
tt3487382,Forever,2014
tt3609352,Grace and Frankie,2015
tt4047038,Dirk Gently's Holistic Detective Agency,2016
tt2235759,The Great,2020
tt6317068,Final Space,2018
tt8788458,The Promised Neverland,2019
tt7255502,The Kominsky Method,2018
tt5574490,Animal Kingdom,2016
tt11712058,Mayor of Kingstown,2021
tt3061046,Steven Universe,2013
tt1073507,Party Down,2009
tt11815682,Hacks,2021
tt5137338,Victoria,2016
tt3877200,The Missing,2014
tt14218830,Abbott Elementary,2021
tt1235547,Better Off Ted,2009
tt1637574,Conan,2010
tt4524056,Vis a vis,2015
tt4592410,The Get Down,2016
tt0379632,Hustle,2004
tt0251439,Trigun,1998
tt0883772,Man vs. Wild,2006
tt13138834,Time,2021
tt11639414,The Midnight Gospel,2020
tt8101850,Undone,2019
tt4374208,Catastrophe,2015
tt2396135,Shetland,2013
tt5912064,Kim's Convenience,2016
tt0105929,Absolutely Fabulous,1992
tt2379308,Psycho-Pass,2012
tt11398870,Caliphate,2020
tt2581458,Looking,2014
tt0108906,The Kingdom,1994
tt12197698,Leverage: Redemption,2021
tt5673782,Genius,2017
tt4925000,Descendants of the Sun,2016
tt0106052,Late Night with Conan O'Brien,1993
tt13623580,Reservation Dogs,2021
tt5339440,One Day at a Time,2017
tt1988386,Miss Fisher's Murder Mysteries,2012
tt11239552,Itaewon Class,2020
tt1533435,Miranda,2009
tt1091909,Murdoch Mysteries,2008
tt0983983,Shaun the Sheep,2007
tt7211618,Gentleman Jack,2019
tt5014882,The Durrells,2016
tt9612102,Exit,2019
tt0197159,Home Movies,1999
tt1008108,Ashes to Ashes,2008
tt1138475,The Guild,2007
tt1178522,Little Dorrit,2008
tt2432604,Toast of London,2012
tt1055238,Would I Lie to You?,2007
tt1812523,Tron: Uprising,2012
tt0129711,The Royle Family,1998
tt0305011,Clone High,2002
tt0173528,Bill Nye the Science Guy,1993
tt1077744,Lark Rise to Candleford,2008
tt5761496,Get Shorty,2017
tt15026724,Our Beloved Summer,2021
tt0865409,Frisky Dingo,2006
tt0185102,Queer as Folk,1999
tt4816058,Dragons: Race to the Edge,2015
tt6522580,Little Things,2016
tt8515016,Banana Fish,2018
tt2262456,The Hollow Crown,2012
tt13024974,D.P.,2021
tt1663641,Face Off,2011
tt0108828,"Knowing Me, Knowing You with Alan Partridge",1994
tt2345459,8 Out of 10 Cats Does Countdown,2012
tt0421460,The Soup,2004
tt0101088,"Eerie, Indiana",1991
tt4680240,Club de Cuervos,2015
tt10359446,The Chef Show,2019
tt3038546,Mike Tyson Mysteries,2014
tt0389680,Shaktimaan,1997
tt5603140,The Restaurant,2017
tt1520211,The Walking Dead,2010
tt5180504,The Witcher,2019
tt4052886,Lucifer,2016
tt2372162,Orange Is the New Black,2013
tt0452046,Criminal Minds,2005
tt0165598,That '70s Show,1998
tt1219024,Castle,2009
tt3205802,How to Get Away with Murder,2014
tt7493974,Bodyguard,2018
tt7016936,Killing Eve,2018
tt12851524,Only Murders in the Building,2021
tt0203259,Law & Order: Special Victims Unit,1999
tt2188671,Bates Motel,2013
tt2294189,The Fall,2013
tt0758790,The Tudors,2007
tt0374455,Stargate: Atlantis,2004
tt0106145,Star Trek: Deep Space Nine,1993
tt5618256,Manhunt,2017
tt1610527,Workaholics,2011
tt0852863,Phineas and Ferb,2007
tt4687880,Goliath,2016
tt7772588,For All Mankind,2019
tt3281796,Power,2014
tt0105958,Boy Meets World,1993
tt8690918,Resident Alien,2021
tt0348913,Dead Like Me,2003
tt2805096,Chicago P.D.,2014
tt2452242,Happy!,2017
tt1615919,Raising Hope,2010
tt5011816,Sneaky Pete,2015
tt8634332,The Righteous Gemstones,2019
tt7661390,Gangs of London,2020
tt2616280,Derek,2012
tt1492179,Strike Back,2010
tt6877772,American Vandal,2017
tt0914387,Damages,2007
tt4998350,The Deuce,2017
tt0147746,Batman Beyond,1999
tt3228420,You're the Worst,2014
tt0118298,Daria,1997
tt3502172,Mozart in the Jungle,2014
tt11204260,I May Destroy You,2020
tt9679542,Dr. Stone,2019
tt2543328,TURN: Washington's Spies,2014
tt0460690,The Unit,2006
tt2183641,Ripper Street,2012
tt2521668,The Returned,2012
tt1844923,Friday Night Dinner,2011
tt5024912,Insecure,2016
tt9095260,Criminal Justice,2019
tt8080122,Godfather of Harlem,2019
tt1833285,Boss,2011
tt7745956,She-Ra and the Princesses of Power,2018
tt0108783,Gargoyles,1994
tt1693592,Vera,2011
tt10314462,Zoey's Extraordinary Playlist,2020
tt0115378,Superman: The Animated Series,1996
tt3305096,Galavant,2015
tt1660055,Scooby-Doo! Mystery Incorporated,2010
tt1515193,The Big C,2010
tt0874608,Inspector Lewis,2006
tt0805661,The Black Donnellys,2007
tt9054364,That Time I Got Reincarnated as a Slime,2018
tt8324422,PEN15,2019
tt0098830,In Living Color,1990
tt1086191,Outnumbered,2007
tt13304700,Snowdrop,2021
tt11147852,Dorohedoro,2020
tt8523042,Vagabond,2019
tt6078096,High Maintenance,2016
tt7889220,Dirty Money,2018
tt0384746,Kenny vs. Spenny,2002
tt1973692,Rita,2012
tt0118475,Spawn,1997
tt5580664,Voltron: Legendary Defender,2016
tt2582590,Vicious,2013
tt8914684,Sunderland 'Til I Die,2018
tt2400391,Legit,2013
tt1137462,Kings,2009
tt0118363,Jonathan Creek,1997
tt0801425,Day Break,2006
tt4201628,Pinocchio,2014
tt1430509,Inspector George Gently,2007
tt8078816,Something in the Rain,2018
tt1567254,The Good Guys,2010
tt0434672,The Comeback,2005
tt5034326,Adam Ruins Everything,2015
tt11426660,Cheer,2020
tt8026448,Tacoma FD,2019
tt2955402,Velvet,2013
tt2319283,Moone Boy,2012
tt0194624,Strangers with Candy,1999
tt0260615,The Forsyte Saga,2002
tt5619658,Flowers,2016
tt4687892,Good Girls Revolt,2015
tt1476750,River Monsters,2009
tt10919420,Squid Game,2021
tt1844624,American Horror Story,2011
tt2741602,The Blacklist,2013
tt6257970,The End of the F***ing World,2017
tt5057054,Tom Clancy's Jack Ryan,2018
tt1235099,Lie to Me,2009
tt6470478,The Good Doctor,2017
tt1399664,The Night Manager,2016
tt8064302,Dead to Me,2019
tt5691552,The Orville,2017
tt1869454,Good Omens,2019
tt0312172,Monk,2002
tt0810788,Burn Notice,2007
tt2189461,Marco Polo,2014
tt12411074,Paranormal,2020
tt2261391,Chicago Fire,2012
tt5651844,Travelers,2016
tt7587890,The Rookie,2018
tt2930604,Star Wars: Rebels,2014
tt5770786,GLOW,2017
tt7817340,New Amsterdam,2018
tt4326894,F Is for Family,2015
tt2712740,The Goldbergs,2013
tt6873658,The Mechanism,2018
tt1064899,Queen of the South,2016
tt2262532,The Fosters,2013
tt4643084,Counterpart,2017
tt3766376,Vice Principals,2016
tt8910922,Solar Opposites,2020
tt1001482,United States of Tara,2009
tt3561180,Trapped,2015
tt4051832,Lovesick,2014
tt10166602,"Love, Victor",2020
tt7375404,Kidding,2018
tt0241088,Da Ali G Show,2000
tt0377260,Shameless,2004
tt10050772,I Think You Should Leave with Tim Robinson,2019
tt2758770,Star vs. the Forces of Evil,2015
tt0112095,NewsRadio,1995
tt4384086,Life in Pieces,2015
tt7649694,Ramy,2019
tt0108981,The Vicar of Dibley,1994
tt0985344,Claymore,2007
tt2980696,Quarry,2016
tt2314952,Comedians in Cars Getting Coffee,2012
tt4452630,Code Black,2015
tt12867810,Start-Up,2020
tt0294097,"Harvey Birdman, Attorney at Law",2000
tt0115270,Millennium,1996
tt4877736,BrainDead,2016
tt0772145,Wolverine and the X-Men,2008
tt4855114,Good Behavior,2016
tt0197182,Third Watch,1999
tt1778108,The Hour,2011
tt1621748,Ugly Americans,2010
tt13274038,True Beauty,2020
tt1843678,Scott & Bailey,2011
tt10982034,Trying,2020
tt8005374,Explained,2018
tt0948538,Journeyman,2007
tt0362357,New Tricks,2003
tt13273826,The Uncanny Counter,2020
tt1698441,The Trip,2010
tt12585152,Down to Earth with Zac Efron,2020
tt6554240,Heels,2021
tt0108756,Due South,1994
tt1724587,Green Lantern: The Animated Series,2011
tt0476922,Moral Orel,2005
tt8019444,Aggretsuko,2018
tt13206988,Paava Kadhaigal,2020
tt0465353,Sleeper Cell,2005
tt0367409,Shaman King,2001
tt5722190,Brockmire,2017
tt3922704,No Offence,2015
tt10810430,"The Mind, Explained",2019
tt9058134,Kengan Ashura,2019
tt1717455,Silk,2011
